# Iteration  RMSerrUS  RMSerrSS
   510   0.580866       0.580866    
   511   0.580630       0.580630    
   512   0.580395       0.580395    
   513   0.580160       0.580160    
   514   0.579925       0.579925    
   515   0.579690       0.579690    
   516   0.579455       0.579455    
   517   0.579220       0.579220    
   518   0.578985       0.578985    
   519   0.578750       0.578750    
   520   0.578516       0.578516    
   521   0.578281       0.578281    
   522   0.578047       0.578047    
   523   0.577812       0.577812    
   524   0.577578       0.577578    
   525   0.577344       0.577344    
   526   0.577110       0.577110    
   527   0.576876       0.576876    
   528   0.576642       0.576642    
   529   0.576409       0.576409    
   530   0.576175       0.576175    
   531   0.575941       0.575941    
   532   0.575708       0.575708    
   533   0.575475       0.575475    
   534   0.575241       0.575241    
   535   0.575008       0.575008    
   536   0.574775       0.574775    
   537   0.574542       0.574542    
   538   0.574309       0.574309    
   539   0.574077       0.574077    
   540   0.573844       0.573844    
   541   0.573611       0.573611    
   542   0.573379       0.573379    
   543   0.573146       0.573146    
   544   0.572914       0.572914    
   545   0.572682       0.572682    
   546   0.572450       0.572450    
   547   0.572218       0.572218    
   548   0.571986       0.571986    
   549   0.571754       0.571754    
   550   0.571522       0.571522    
   551   0.571290       0.571290    
   552   0.571059       0.571059    
   553   0.570827       0.570827    
   554   0.570596       0.570596    
   555   0.570365       0.570365    
   556   0.570134       0.570134    
   557   0.569902       0.569902    
   558   0.569671       0.569671    
   559   0.569441       0.569441    
   560   0.569210       0.569210    
   561   0.568979       0.568979    
   562   0.568748       0.568748    
   563   0.568518       0.568518    
   564   0.568287       0.568287    
   565   0.568057       0.568057    
   566   0.567827       0.567827    
   567   0.567597       0.567597    
   568   0.567367       0.567367    
   569   0.567137       0.567137    
   570   0.566907       0.566907    
   571   0.566677       0.566677    
   572   0.566447       0.566447    
   573   0.566218       0.566218    
   574   0.565988       0.565988    
   575   0.565759       0.565759    
   576   0.565529       0.565529    
   577   0.565300       0.565300    
   578   0.565071       0.565071    
   579   0.564842       0.564842    
   580   0.564613       0.564613    
   581   0.564384       0.564384    
   582   0.564155       0.564155    
   583   0.563927       0.563927    
   584   0.563698       0.563698    
   585   0.563470       0.563470    
   586   0.563241       0.563241    
   587   0.563013       0.563013    
   588   0.562785       0.562785    
   589   0.562557       0.562557    
   590   0.562329       0.562329    
   591   0.562101       0.562101    
   592   0.561873       0.561873    
   593   0.561645       0.561645    
   594   0.561417       0.561417    
   595   0.561190       0.561190    
   596   0.560962       0.560962    
   597   0.560735       0.560735    
   598   0.560508       0.560508    
   599   0.560281       0.560281    
   600   0.560053       0.560053    
   601   0.559826       0.559826    
   602   0.559599       0.559599    
   603   0.559373       0.559373    
   604   0.559146       0.559146    
   605   0.558919       0.558919    
   606   0.558693       0.558693    
   607   0.558466       0.558466    
   608   0.558240       0.558240    
   609   0.558014       0.558014    
   610   0.557787       0.557787    
   611   0.557561       0.557561    
   612   0.557335       0.557335    
   613   0.557109       0.557109    
   614   0.556884       0.556884    
   615   0.556658       0.556658    
   616   0.556432       0.556432    
   617   0.556207       0.556207    
   618   0.555981       0.555981    
   619   0.555756       0.555756    
   620   0.555531       0.555531    
   621   0.555305       0.555305    
   622   0.555080       0.555080    
   623   0.554855       0.554855    
   624   0.554631       0.554631    
   625   0.554406       0.554406    
   626   0.554181       0.554181    
   627   0.553956       0.553956    
   628   0.553732       0.553732    
   629   0.553507       0.553507    
   630   0.553283       0.553283    
   631   0.553059       0.553059    
   632   0.552835       0.552835    
   633   0.552610       0.552610    
   634   0.552386       0.552386    
   635   0.552163       0.552163    
   636   0.551939       0.551939    
   637   0.551715       0.551715    
   638   0.551491       0.551491    
   639   0.551268       0.551268    
   640   0.551044       0.551044    
   641   0.550821       0.550821    
   642   0.550598       0.550598    
   643   0.550375       0.550375    
   644   0.550152       0.550152    
   645   0.549929       0.549929    
   646   0.549706       0.549706    
   647   0.549483       0.549483    
   648   0.549260       0.549260    
   649   0.549037       0.549037    
